Title,Role_Skills
.NET Developer,"['.net core basics', 'git', 'design patterns', 'html', 'kubernetes', 'csharp', 'vb.net basics', 'ci/cd', 'entity framework', 'solid principles', 'mvc', 'azure devops', 'azure', '.net core fundamentals', 'rest apis', 'asp.net core', 'asp.net basics', 'moq', 'docker', 'f#', 'angular', 'grpc', 'unit testing basics', 'aspnet', 'testing with xunit', 'dotnet', 'linq', 'nunit basics', 'sql server', 'razor', 'dapper', 'vb.net', 'blazor', 'javascript basics', '.net framework', 'webapi', 'visual studio', 'testing with nunit', 'microservices', 'nosql', '.net framework basics', 'entity framework basics', 'css', 'signalr']"
AI Engineer - Experienced,"['kubernetes', 'spark', 'deep learning', 'r', 'c++', 'pytorch', 'keras', 'ci/cd', 'llms', 'nlp', 'azure', 'gcp', 'apache spark', 'java', 'aws', 'docker', 'python', 'onnx', 'hugging face', 'tensorflow', 'mlops', 'lime', 'computer vision', 'hugging face transformers', 'shap', 'generative ai', 'reinforcement learning', 'model monitoring', 'hadoop', 'scikit-learn']"
AI Engineer - Fresher,"['c++', 'r', 'pytorch', 'keras', 'nltk', 'java', 'clustering', 'python', 'pandas', 'supervised/unsupervised learning', 'regression', 'numpy', 'tensorflow', 'neural networks', 'opencv', 'classification', 'sql', 'mongodb', 'nosql', 'scikit-learn']"
AI Prompt Engineer,"['intro nlp', 'openai gpt models exposure', 'teamwork', 'leadership', 'python basics', 'communication', 'pytorch', 'nlp basics', 'iterative prompt optimization', 'nlp introduction', 'prompt writing', 'openai gpt basics', 'python advanced', 'api integration (openai/azure)', 'introductory nlp', 'chain-of-thought prompts', 'machine learning for prompt tuning', 'deep nlp expertise', 'machine learning analysis', 'tensorflow basics', 'data visualization', 'python', 'hugging face', 'openai gpt intro', 'nltk basics', 'data analysis', 'chain-of-thought prompting', 'prompt optimization techniques', 'openai api', 'azure cognitive services', 'openai gpt models intro', 'iterative prompt design', 'pytorch basics', 'critical thinking', 'advanced python', 'tensorflow', 'collaboration', 'advanced prompt design (chain-of-thought, iterative optimization)', 'prompt chain-of-thought', 'hugging face basics', 'gpt models intro', 'hugging face transformers', 'javascript basics', 'spacy basics', 'nlp frameworks', 'intro to nlp', 'javascript advanced', 'llm tuning', 'creativity', 'hugging face transformers basics', 'openai gpt model basics', 'data analytics', 'javascript', 'advanced nlp', 'nlp techniques', 'prompt iterative optimization', 'prompt design optimization', 'problem-solving', 'prompt writing fundamentals', 'gpt model exposure']"
AR/VR Developer,"['unreal engine basics', 'teamwork', 'vuforia', 'communication', 'python basics', 'leadership', 'c++, c# expert', 'gesture/motion tracking', 'arcore basics', 'arkit advanced', 'arcore advanced', 'ui/ux fundamentals', 'project management', 'cross-platform optimization', 'project coordination', 'performance optimization', 'ui/ux design expert', 'advanced 3d modeling/animation', 'motion tracking basics', '3d modeling basics', 'advanced 3d modeling and animation', 'cross-platform deployment', 'performance tuning', 'c# basics', 'blender basics', 'ui/ux design advanced', '3d modeling/animation advanced', 'arkit, arcore, vuforia', '3d modeling/animation expert', '3d modeling and graphics', 'c++ advanced', 'c++, c# advanced', 'unreal engine advanced', 'cross-platform development', 'ui/ux expert', 'collaboration', 'team management', '3d modeling and animation expert', 'spatial computing', 'advanced 3d graphics', 'spatial computing basics', 'maya basics', 'c++ basics', 'unity basics', 'javascript basics', 'gesture and motion tracking', 'arkit basics', 'blender/maya basics', 'javascript advanced', 'unity, unreal engine expert', 'creativity', 'ui/ux advanced', 'team collaboration', 'c# advanced', '3d modeling fundamentals', 'unity, unreal engine advanced', 'machine learning basics', 'problem-solving', 'hardware integration', 'unity advanced']"
Android App Developer Trainee,"['ui/ux basics', 'sqlite', 'git', 'kotlin', 'mvc', 'java', 'android studio', 'rest apis']"
Android Architect,"['unit testing', 'kotlin', 'performance optimization', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Android Developer,"['unit testing', 'git', 'kotlin', 'room', 'jetpack', 'rest apis', 'firebase', 'java', 'android studio', 'mvvm']"
Android Developer Intern,"['ui/ux basics', 'xml', 'sqlite', 'kotlin', 'git', 'mvc', 'java', 'rest api', 'android studio', 'rest apis']"
Android Developer Trainee,"['ui/ux basics', 'xml', 'sqlite', 'kotlin', 'git', 'java', 'rest api', 'android studio']"
Android Development Intern,"['ui/ux basics', 'xml', 'sqlite', 'kotlin', 'git', 'java', 'rest api', 'android studio']"
Android Solutions Architect,"['unit testing', 'kotlin', 'performance optimization', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Android Solutions Engineer,"['unit testing', 'kotlin', 'room', 'jetpack', 'rest apis', 'clean architecture', 'ci/cd', 'firebase', 'java', 'android studio', 'mvvm']"
Android Tech Lead,"['unit testing', 'kotlin', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Associate Android Developer,"['xml', 'sqlite', 'kotlin', 'git', 'ui/ux design', 'java', 'rest api', 'android studio']"
Associate Cloud Architect,"['cloud database basics', 'aws basics', 'docker', 'azure basics', 'linux administration']"
Associate Cybersecurity Analyst,"['wireshark', 'linux security', 'firewall basics', 'incident response', 'gdpr basics']"
Associate Network Engineer,"['python basics', 'bash basics', 'dhcp', 'dns', 'cisco ios', 'subnetting']"
Associate System Engineer,"['tcp/ip', 'perl basics', 'vmware', 'linux administration basics', 'cloud concepts']"
Associate UX Designer,"['team collaboration', 'typography', 'user research basics', 'wireframes', 'adobe xd', 'prototyping', 'sketch', 'figma']"
Associate iOS Engineer,"['git', 'swift', 'json', 'objective-c', 'rest apis']"
BI Analyst - Experienced,"['advanced tableau', 'looker', 'complex sql queries', 'advanced bi modeling', 'qlikview', 'data modeling', 'advanced analytics', 'predictive analytics', 'etl pipelines', 'snowflake', 'etl pipeline management', 'kpi definition', 'sql & database management', 'kpi and performance metrics development', 'sql optimization', 'tableau', 'sql', 'data governance', 'kpi monitoring', 'etl pipeline design', 'kpi development', 'predictive modeling', 'redshift', 'kpi strategy', 'power bi', 'sql queries', 'forecasting', 'data integration']"
BI Analyst - Fresher,"['excel visualization', 'basic data analysis', 'mysql/postgresql', 'sql querying', 'mysql basics', 'postgresql basics', 'etl process knowledge', 'kpi knowledge', 'excel charts', 'business process knowledge', 'etl understanding', 'business metrics awareness', 'data analysis', 'kpi understanding', 'basic statistics', 'mysql', 'statistics', 'excel charts and dashboards', 'postgresql', 'etl awareness', 'tableau', 'etl knowledge', 'sql', 'basic statistical analysis', 'excel charts and pivot tables', 'etl process awareness', 'excel dashboards', 'business acumen', 'power bi', 'excel', 'etl process understanding']"
Backend Developer - Entry Level,"['postgresql', 'flask', 'git', 'docker', 'python', 'restful api', 'express.js', 'django', 'redis', 'node.js', 'cloud basics', 'agile', 'ci/cd basics', 'mysql', 'graphql basics', 'java', 'mongodb']"
Backend Developer - Experienced,"['git', 'kubernetes', 'ci/cd', 'django', 'redis', 'azure', 'gcp', 'java', 'hipaa compliance', 'flask', 'aws', 'docker', 'python', 'graphql', 'grpc', 'cloud platforms', 'express.js', 'security', 'mysql', 'agile', 'postgresql', 'mongodb', 'spring boot', 'microservices', 'restful api', 'cloud', 'node.js', 'go']"
Big Data Specialist,"['leadership', 'teamwork', 'python basics', 'hadoop (hdfs, hive, mapreduce)', 'analytical thinking', 'qlikview', 'azure', 'python advanced', 'gcp', 'java', 'curiosity', 'aws big data services', 'mllib basics', 'nosql basics (mongodb, hbase)', 'tensorflow basics', 'apache nifi', 'scala', 'python', 'aws', 'spark basics', 'snowflake', 'nosql basics', 'java advanced', 'kafka', 'tableau', 'collaboration', 'linux/unix basics', 'data governance', 'hadoop ecosystem', 'hadoop ecosystem basics', 'scala basics', 'etl concepts', 'hadoop (hdfs, mapreduce, hive, pig)', 'apache spark basics', 'mllib', 'apache nifi basics', 'java basics', 'spark streaming', 'azure big data services', 'redshift', 'hadoop (hdfs, mapreduce, hive)', 'talend', 'scala advanced', 'flink', 'power bi', 'sql basics', 'gcp big data services', 'hadoop', 'talend basics', 'etl basics', 'bigquery', 'team leadership', 'problem-solving', 'hadoop basics']"
Blockchain Developer,"['rust basics', 'truffle advanced', 'teamwork', 'git', 'python basics', 'communication', 'leadership', 'git basics', 'hyperledger', 'cross-chain solutions', 'smart contract development', 'ethereum', 'cryptography fundamentals', 'smart contract testing', 'python advanced', 'cryptography expert', 'ethereum basics', 'mentoring', 'stakeholder collaboration', 'project management', 'smart contract implementation', 'smart contract security audits', 'gas optimization', 'cross-chain', 'truffle basics', 'innovation management', 'dapps basics', 'dapps fundamentals', 'java advanced', 'ethereum multi-chain', 'mentorship', 'solidity basics', 'smart contract optimization', 'remix ide basics', 'cryptography basics', 'scalable dapps', 'solidity advanced', 'collaboration', 'team management', 'remix ide advanced', 'c++ basics', 'cryptography advanced', 'java basics', 'hyperledger advanced', 'smart contract optimization and security audits', 'adaptability', 'git advanced', 'innovation', 'smart contracts', 'hyperledger fabric', 'smart contract development and testing', 'hyperledger basics', 'corda basics', 'corda', 'cross-chain development', 'cross-chain interoperability', 'team collaboration', 'cryptography', 'innovation strategies', 'smart contracts basics', 'truffle', 'problem-solving', 'ethereum fundamentals', 'remix ide', 'cloud integration']"
Business Analyst,"['ai-enhanced analytics', 'advanced data analysis', 'communication', 'business intelligence', 'basic data analysis', 'stakeholder communication', 'requirement management', 'data storytelling', 'agile methodology', 'agile project management', 'business process modeling', 'advanced sql', 'data analysis basics', 'advanced analytics', 'agile methodologies', 'business process mapping', 'agile fundamentals', 'strategic planning', 'data analysis', 'data interpretation', 'agile methodology awareness', 'research skills', 'ai-powered analytics', 'business process optimization', 'power bi basics', 'critical thinking', 'tableau', 'collaboration', 'sql', 'agile leadership', 'requirement gathering', 'ai-driven analytics', 'research', 'stakeholder engagement', 'stakeholder management', 'requirement documentation', 'power bi', 'team collaboration', 'requirement elicitation', 'sql basics', 'sas', 'tableau basics', 'excel', 'problem-solving', 'documentation']"
Cloud Architect,"['aws fundamentals', 'kubernetes basics', 'python basics', 'azure basics', 'bash scripting', 'gcp basics', 'cloud security fundamentals', 'docker introduction']"
Cloud Automation Engineer,"['terraform', 'aws', 'kubernetes', 'python', 'ansible', 'cloudformation']"
Cloud Cost Optimization Architect,"['terraform', 'aws', 'python', 'cloud cost management', 'azure']"
Cloud DevSecOps Architect,"['terraform', 'aws', 'security integration', 'python', 'ci/cd pipelines', 'ansible', 'azure']"
Cloud Engineer,"['terraform', 'aws', 'kubernetes', 'ci/cd pipelines', 'python scripting', 'cloud security compliance', 'azure']"
Cloud Engineer - Experienced,"['terraform', 'gitlab ci', 'kubernetes', 'jenkins', 'ci/cd', 'cloud security: iam, rbac, encryption, compliance', 'monitoring: cloudwatch, prometheus, elk', 'circleci', 'docker/kubernetes', 'azure advanced', 'azure', 'gcp', 'storage', 'aws', 'python', 'networking: vpc, load balancers, dns, firewall rules', 'ci/cd: jenkins, gitlab ci, circleci', 'helm', 'docker swarm', 'cloud security', 'bash', 'monitoring & logging: cloudwatch, prometheus, elk', 'monitoring/logging: cloudwatch, prometheus, elk', 'aws advanced', 'python/bash/powershell', 'powershell', 'scripting: python, bash, powershell', 'database & storage: sql, nosql, s3, azure blob storage', 'gcp advanced', 'terraform/cloudformation/ansible', 'networking & storage', 'monitoring', 'ansible', 'networking', 'sql, nosql, s3, azure blob', 'cloudformation']"
Cloud Engineer - Fresher,"['shell scripting', 'git', 'jenkins', 'iam basics', 'azure basics', 'gcp basics', 'terraform/cloudformation knowledge', 'cloudwatch', 'docker/kubernetes', 'azure', 'gcp', 'monitoring: cloudwatch, prometheus', 'vpn', 'python/bash scripting', 'git/github/gitlab', 'aws', 'python', 'terraform/cloudformation awareness', 'monitoring: cloudwatch, azure monitor', 'docker basics', 'git/github', 'kubernetes basics', 'bash', 'cloudformation basics', 'aws codepipeline', 'monitoring: cloudwatch, prometheus, azure monitor', 'github actions', 'terraform/cloudformation basics', 'monitoring fundamentals', 'aws basics', 'prometheus', 'vpc', 'docker/kubernetes fundamentals', 'jenkins/github actions', 'terraform basics']"
Cloud Infrastructure Architect,"['terraform', 'hybrid cloud', 'aws', 'python', 'sdn', 'cloud networking', 'azure']"
Cloud Infrastructure Security Architect,"['terraform', 'cloud security', 'compliance', 'aws', 'kubernetes', 'encryption', 'azure', 'iam']"
Cloud Migration Specialist,"['terraform', 'aws', 'python', 'database migration', 'azure', 'gcp', 'cloud migration']"
Cloud Network Engineer,"['vpc', 'automation with ansible', 'aws networking', 'load balancers', 'azure networking']"
Cloud Platform Architect,"['terraform', 'aws', 'kubernetes', 'python', 'ci/cd', 'azure', 'docker swarm']"
Cloud Security Analyst,"['gcp security', 'firewall management', 'siem tools', 'azure security', 'incident response', 'aws security']"
Cloud Security Architect,"['cloud security', 'compliance frameworks', 'aws', 'encryption', 'python scripting', 'azure', 'iam']"
Cloud Solutions Associate,"['docker', 'cloud storage basics', 'linux administration', 'networking fundamentals', 'terraform basics', 'java basics']"
Cloud Trainee,"['bash', 'cloud storage basics', 'python scripting', 'iam fundamentals', 'basic networking']"
Content Writer,"['wordpress basics', 'fact-checking and research', 'ai tools exposure', 'digital marketing tools (google analytics, semrush)', 'basic seo knowledge', 'adaptable tone and style', 'research skills', 'advanced writing and editing', 'ai tool awareness', 'cms tools', 'collaboration', 'tone and style adaptation', 'multi-format content creation', 'analytics and performance measurement', 'writing and grammar', 'digital marketing tools', 'cms and ai tools', 'content formatting', 'collaboration with marketing teams', 'ai writing tool exposure', 'advanced seo and analytics', 'advanced content strategy', 'collaboration with cross-functional teams', 'seo basics', 'collaboration and mentoring', 'cms basics', 'clarity in writing', 'ai-assisted content tools', 'content optimization', 'basic seo', 'communication skills', 'keyword usage', 'editing and fact-checking', 'advanced writing skills', 'cms and ai writing tools', 'seo and keyword research', 'collaboration and teamwork', 'seo optimization', 'collaboration and team management', 'content strategy leadership', 'content research', 'research', 'analytics basics', 'writing clarity and grammar', 'content strategy', 'content marketing', 'performance tracking and kpi analysis', 'digital marketing tools (ga, semrush, hubspot)', 'ai-assisted content creation', 'ai writing tools awareness', 'research and fact-checking', 'fact-checking', 'editing and proofreading', 'content strategy support', 'advanced seo', 'digital marketing tools proficiency', 'wordpress or cms proficiency', 'ai content tools', 'proofreading', 'cms proficiency', 'ai content tools awareness', 'comprehensive content strategy', 'creativity', 'social media content', 'digital marketing tools (ga, semrush)', 'time management', 'adaptation of tone and style', 'ai-assisted content optimization', 'analytics and kpi tracking', 'collaboration with teams', 'kpi tracking', 'brand voice consistency', 'basic writing and grammar', 'digital marketing awareness', 'writing clarity', 'content strategy development', 'project management', 'cms familiarity', 'content strategy planning', 'advanced seo skills', 'project management for content initiatives', 'seo fundamentals', 'digital marketing tools (google analytics, semrush, hubspot)', 'digital marketing basics', 'blog and article writing', 'seo keyword research', 'cross-functional collaboration', 'performance tracking', 'content calendar management', 'ai-assisted writing', 'digital marketing knowledge', 'advanced seo techniques', 'seo and keyword optimization', 'multi-format content creation (blogs, whitepapers, social media, scripts)', 'multi-format content creation (blogs, social media, video scripts)', 'content creation', 'grammar and punctuation', 'seo optimization and backlinking', 'digital marketing tools (ga4, semrush, hubspot)', 'collaboration with marketing and design teams', 'advanced seo and keyword optimization']"
Copywriter,"['communication', 'content editing and proofreading', 'basic seo practices', 'creativity and storytelling', 'cms basics (wordpress, hubspot)', 'basic seo knowledge', 'digital marketing integration', 'adaptable writing style', 'collaboration', 'ai writing tool awareness', 'tone and style adaptation', 'multi-format content creation', 'multi-format copywriting', 'project and performance management', 'cms and ai tools', 'digital marketing tools', 'collaboration with marketing teams', 'familiarity with digital marketing channels', 'cms and ai tools proficiency', 'team leadership and collaboration', 'team leadership', 'advanced seo and analytics', 'leadership', 'digital marketing expertise', 'proofreading and editing', 'seo basics', 'collaboration and leadership', 'ai writing tools', 'ai-assisted content tools', 'basic seo', 'seo optimization', 'performance measurement', 'brand messaging and consistency', 'content research', 'strategic copywriting', 'brand voice alignment', 'team collaboration', 'content strategy', 'ai-assisted writing tools', 'storytelling', 'persuasive writing', 'ai-assisted content creation', 'ai writing tools awareness', 'advanced copywriting', 'research and fact-checking', 'digital marketing channels and tools', 'brand messaging', 'editing and proofreading', 'advanced seo', 'leadership and mentoring', 'ai content tools', 'cms proficiency', 'cms usage', 'creativity', 'time management', 'ai-assisted content optimization', 'content adaptation for brand voice', 'kpi analysis', 'analytics and kpi tracking', 'brand voice consistency', 'seo and analytics expertise', 'digital marketing channel familiarity', 'storytelling and creativity', 'digital marketing strategy', 'project management', 'strategic content planning', 'cms familiarity', 'content research and accuracy', 'collaboration and communication', 'email and social media familiarity', 'digital marketing familiarity', 'persuasive copywriting', 'performance tracking', 'advanced copywriting and editing', 'digital marketing knowledge', 'ai-assisted writing', 'seo and keyword optimization', 'seo optimization and analytics', 'grammar and punctuation mastery', 'brand consistency', 'grammar and punctuation', 'research and accuracy', 'clear and persuasive writing']"
Cyber Defense Analyst,"['threat hunting', 'malware analysis', 'firewall management', 'soc operations', 'siem tools', 'compliance auditing']"
Cybersecurity Analyst,"['wireshark', 'threat hunting', 'qradar', 'splunk', 'bash', 'c++', 'python', 'linux basics', 'cloud security (aws/azure)', 'risk management', 'encryption basics', 'firewall configuration', 'incident response', 'nessus', 'snort']"
Cybersecurity Intern,"['python', 'vulnerability assessment', 'antivirus tools', 'linux fundamentals', 'nist basics', 'snort']"
Cybersecurity Risk Analyst,"['splunk', 'python', 'risk management', 'powershell', 'compliance auditing']"
Cybersecurity Support Analyst,"['wireshark', 'teamwork', 'cryptography basics', 'iso 27001 basics', 'firewall rules']"
Cybersecurity Trainee,"['encryption fundamentals', 'wireshark', 'metasploit', 'linux security', 'c++ basics']"
Data Analyst - Experienced,"['spark', 'a/b testing', 'looker', 'data engineering', 'r', 'machine learning algorithms', 'data warehousing', 'advanced sql', 'google data studio', 'advanced analytics', 'etl workflows', 'python', 'etl', 'etl pipelines', 'snowflake', 'statistical modeling', 'kafka', 'tableau', 'sql', 'time-series forecasting', 'time-series analysis', 'hypothesis testing', 'predictive modeling', 'redshift', 'power bi', 'sas', 'hadoop', 'bigquery', 'machine learning']"
Data Analyst - Fresher,"['r', 'excel charts', 'matplotlib', 'python', 'spark basics', 'basic statistics', 'mysql', 'pandas', 'regression', 'postgresql', 'tableau', 'sql', 'excel functions', 'hypothesis testing', 'power bi', 'sas', 'hadoop', 'excel', 'hadoop basics', 'seaborn']"
Data Analyst / Data Scientist Intern,"['matplotlib', 'python', 'r', 'seaborn', 'sql', 'basic ml: classification, clustering', 'mysql', 'pandas', 'mongodb', 'numpy']"
Data Engineer,"['data modeling basics', 'spark', 'azure basics', 'linux', 'aws beginner', 'databricks', 'analytical thinking', 'data partitioning', 'spark fundamentals', 'apache spark', 'java', 'data modeling', 'aws glue', 'airflow', 'hadoop fundamentals', 'scala', 'python', 'aws s3', 'spark basics', 'snowflake', 'mysql', 'gcp bigquery', 'apache kafka', 'postgresql', 'sql optimization', 'kafka', 'airflow fundamentals', 'sql', 'data governance', 'etl fundamentals', 'scala basics', 'data structures', 'mongodb', 'java basics', 'aws basics', 'azure fundamentals', 'redshift', 'aws redshift', 'aws cloud basics', 'airflow basics', 'flink', 'etl tools introduction', 'aws emr', 'hadoop', 'etl basics', 'aws s3 basics', 'azure synapse', 'bigquery', 'azure data lake', 'hadoop basics']"
Data Science Associate,"['postgresql', 'matplotlib', 'python', 'r', 'seaborn', 'sql', 'basic ml: regression, classification, clustering', 'data preprocessing', 'data cleaning', 'mysql', 'pandas', 'numpy']"
Data Science Intern,"['data wrangling', 'postgresql', 'matplotlib', 'python', 'r', 'seaborn', 'sql', 'data preprocessing', 'mysql', 'pandas', 'basic ml: logistic regression, clustering, decision trees', 'numpy']"
Data Science Team Lead,"['predictive modeling', 'java/scala', 'feature engineering', 'spark', 'aws', 'reinforcement learning', 'python', 'r', 'etl automation', 'tableau', 'powerbi', 'ensemble methods', 'classification', 'sql', 'nlp', 'hadoop', 'gcp', 'regression']"
Data Scientist - Entry Level,"['data wrangling', 'postgresql', 'matplotlib', 'python', 'r', 'seaborn', 'sql', 'basic ml: classification, regression, clustering', 'data preprocessing', 'mysql', 'pandas', 'mongodb', 'numpy']"
Data Scientist - Experienced,"['java/scala', 'spark', 'reinforcement learning', 'clustering', 'python (advanced)', 'r', 'deep learning', 'tableau', 'powerbi', 'ensemble methods', 'classification', 'sql', 'etl pipelines', 'nlp', 'hadoop', 'regression']"
Data Scientist - Fresher,"['postgresql', 'matplotlib', 'python', 'r', 'basic ml algorithms: regression, classification, clustering', 'seaborn', 'sql', 'mysql', 'pandas', 'numpy']"
DevOps Cloud Architect,"['terraform', 'aws', 'kubernetes', 'docker', 'python', 'ci/cd pipelines', 'azure devops']"
DevOps Engineer - Experienced,"['terraform', 'gitlab ci', 'kubernetes', 'jenkins', 'chef', 'circleci', 'azure', 'gcp', 'devsecops', 'linux/unix', 'aws', 'helm', 'docker swarm', 'puppet', 'grafana', 'elk stack', 'microservices', 'ansible', 'prometheus', 'api automation']"
DevOps Engineer - Fresher,"['gcp awareness', 'git', 'kubernetes', 'python basics', 'jenkins', 'azure basics', 'bash basics', 'terraform/ansible awareness', 'gcp basics', 'ci/cd basics', 'azure awareness', 'docker', 'python', 'linux fundamentals', 'terraform awareness', 'python fundamentals', 'bash', 'github/gitlab', 'ansible awareness', 'aws awareness', 'aws basics', 'linux basics']"
Digital Marketing Specialist,"['advanced digital marketing campaigns', 'teamwork', 'ux design integration', 'communication', 'content creation and copywriting', 'basic marketing automation', 'google analytics', 'advanced analytics (google analytics, tableau, mixpanel)', 'cms knowledge', 'brand management', 'sem basics', 'google ads', 'advanced digital marketing strategy', 'budget management', 'content and social media campaigns', 'email marketing basics', 'digital strategy development', 'content and social media marketing', 'marketing analytics (ga, tableau, mixpanel)', 'seo, sem, ppc optimization', 'crm and automation tools (hubspot, marketo, salesforce)', 'seo, sem, ppc campaigns', 'cms tools', 'email marketing automation', 'ux and ui design integration', 'content marketing strategy', 'brand strategy', 'ai-driven marketing', 'seo and sem optimization', 'brand management and ux integration', 'digital campaign strategy', 'multi-channel campaign coordination', 'content marketing and social media strategy', 'team leadership', 'ai-driven personalization', 'ppc campaigns', 'social media marketing basics', 'crm tools (hubspot, salesforce, marketo)', 'multi-channel marketing strategy', 'team leadership and mentorship', 'seo/sem/ppc management', 'emerging marketing technologies', 'brand strategy and ux design', 'seo, sem, ppc', 'communication skills', 'google analytics basics', 'marketing analytics (google analytics, tableau, mixpanel)', 'instagram marketing basics', 'strategic digital marketing planning', 'analytics and reporting (google analytics, tableau, mixpanel)', 'lead generation', 'advanced digital campaigns', 'data-driven decisions', 'brand and ux strategy', 'advanced seo and sem', 'cms tools (wordpress)', 'crm and marketing automation tools', 'ai-driven personalization and marketing automation', 'budget optimization', 'lead generation and crm management', 'instagram, linkedin basics', 'facebook ads manager', 'ai marketing tools', 'brand strategy and ux design integration', 'copywriting', 'team collaboration', 'budget planning and roi optimization', 'content marketing', 'ai-driven marketing and personalization', 'marketing analytics and reporting', 'seo/sem/ppc campaign management', 'emerging marketing technologies (ai-driven personalization)', 'email marketing tools (mailchimp, hubspot) basics', 'cms (wordpress)', 'budget management and roi tracking', 'cross-channel campaign management', 'crm tools (hubspot, marketo, salesforce)', 'analytics and reporting', 'ppc campaign optimization', 'blogging', 'data-driven campaign strategies', 'marketing analytics (tableau, mixpanel, ga)', 'digital advertising basics', 'facebook ads manager basics', 'analytics and reporting (ga, tableau, mixpanel)', 'team management', 'google ads basics', 'advanced digital marketing strategies', 'ai-powered marketing solutions', 'data-driven campaign optimization', 'email marketing (mailchimp, hubspot basics)', 'ux integration', 'creativity', 'ai-driven marketing solutions', 'budget and roi optimization', 'content creation and social media marketing', 'cross-channel campaign coordination', 'blogging and copywriting', 'ux/ui integration', 'data-driven decision making', 'cms (wordpress) basics', 'multi-channel campaign management', 'data-driven marketing decisions', 'team leadership and mentoring', 'social media campaigns', 'lead generation and nurturing', 'digital marketing strategy', 'ppc campaigns management', 'crm tools (hubspot, salesforce)', 'conversion rate optimization', 'data-driven optimization', 'budget planning', 'marketing automation tools (hubspot, marketo, salesforce)', 'email automation', 'seo fundamentals', 'linkedin marketing basics', 'multi-channel campaign integration', 'data-driven marketing', 'email automation and personalization', 'ai-driven marketing strategies', 'budget and roi management', 'seo/sem/ppc optimization', 'brand strategy and ux integration', 'lead generation and crm integration', 'analytics (ga, tableau, mixpanel)', 'seo/sem fundamentals', 'content creation', 'seo and sem fundamentals', 'adaptability', 'ai-powered marketing tools', 'lead generation and crm tools', 'budget management and roi optimization', 'email automation tools (hubspot, marketo)', 'email marketing tools basics', 'data-driven strategy implementation', 'instagram and linkedin marketing basics', 'social media marketing', 'google ads and facebook ads basics']"
Enterprise Cloud Architect,"['terraform', 'cloud strategy', 'multi-cloud architecture', 'leadership', 'kubernetes', 'serverless computing']"
Enterprise Network Engineer,"['eigrp', 'mpls', 'cisco asa', 'f5 load balancer', 'qos']"
Entry Level Data Scientist,"['data wrangling', 'postgresql', 'matplotlib', 'python', 'r', 'seaborn', 'sql', 'basic ml: classification, regression, clustering', 'data cleaning', 'mysql', 'pandas', 'mongodb', 'numpy']"
Entry-Level ML Engineer,"['feature engineering', 'ml basics: classification, regression, clustering, decision trees', 'git/github', 'ml libraries: scikit-learn, tensorflow, pytorch', 'python', 'r', 'visualization: matplotlib, seaborn', 'data preprocessing', 'java', 'statistics: probability, linear algebra']"
Entry-Level Network Analyst,"['wireshark', 'tcp/ip', 'dns', 'nagios', 'subnetting']"
