Title,Role_Skills
Entry-Level Security Analyst,"['c++', 'metasploit', 'risk assessment basics', 'windows security', 'snort']"
Entry-level Android Developer,"['xml', 'sqlite', 'kotlin', 'git', 'material design', 'java', 'rest api', 'android studio']"
Entry-level iOS Developer,"['ui/ux basics', 'simulator', 'swift', 'cocoa touch', 'xcode', 'objective-c']"
Ethical Hacker,"['teamwork', 'communication', 'linux (kali, parrot) expert', 'compliance awareness', 'cryptography and ssl/tls', 'basic cryptography knowledge', 'linux (kali/parrot os) basics', 'advanced python, c/c++, javascript', 'expert network and web security', 'advanced networking', 'familiarity with nmap, sqlmap', 'vulnerability assessment', 'risk assessment', 'windows security and active directory', 'networking fundamentals', 'ethical compliance', 'ethical awareness', 'linux and windows os expert', 'bash, powershell', 'windows security expert', 'compliance (nist, iso)', 'linux and windows os basics', 'compliance frameworks', 'problem-solving', 'metasploit, burp suite, nmap, wireshark, sqlmap', 'leadership', 'penetration testing', 'python, c/c++, javascript advanced', 'penetration testing fundamentals', 'metasploit, burp suite, nmap, sqlmap', 'security frameworks (nist, iso)', 'web app security', 'windows security and ad', 'linux (kali linux/parrot os) basics', 'web app security testing', 'network penetration testing', 'ethical mindset', 'compliance and risk assessment', 'metasploit, burp suite, nmap, sqlmap, wireshark', 'linux/windows os expert', 'metasploit, nmap, burp suite, sqlmap', 'familiarity with metasploit, wireshark', 'linux and windows expert', 'python, c/c++, javascript', 'linux (kali/parrot) advanced', 'linux/windows os fundamentals', 'linux and windows security expert', 'analytical skills', 'bash scripting basics', 'web application security', 'cryptography, ssl/tls', 'expert network security', 'network and application security expert', 'metasploit, burp suite, nmap, wireshark', 'basic cryptography understanding', 'web application and network security', 'linux/windows expert', 'reverse engineering', 'basic vulnerability assessment', 'network and web security expert', 'cryptography', 'web application security basics', 'web security testing', 'network and web security', 'python basics', 'bash scripting', 'malware analysis and reverse engineering', 'analytical thinking', 'vulnerability scanning basics', 'cryptography fundamentals', 'network and application security', 'linux expert', 'networking basics', 'advanced python, c/c++', 'project management', 'familiarity with nmap and wireshark', 'vulnerability assessment basics', 'web app security basics', 'network security expert', 'metasploit, nmap, burp suite, sqlmap, wireshark', 'introduction to penetration testing', 'windows security basics', 'familiarity with metasploit and burp suite', 'penetration testing and vulnerability assessment', 'introductory penetration testing', 'linux and windows security', 'malware analysis', 'vulnerability scanning', 'basic knowledge of nmap, burp suite', 'advanced network security', 'bash, powershell scripting']"
Fintech Engineer,"['teamwork', 'communication', 'predictive modeling and automation', 'cybersecurity', 'financial analysis', 'api architecture and microservices', 'collaboration', 'javascript basics', 'financial modeling and forecasting', 'javascript advanced', 'machine learning predictive analytics', 'project leadership', 'cybersecurity and compliance', 'smart contracts', 'financial products understanding', 'sql basics', 'team leadership', 'blockchain and smart contracts', 'problem-solving', 'leadership', 'sql advanced', 'financial data analysis', 'azure basics', 'cybersecurity fundamentals', 'financial analysis and modeling', 'devops in fintech', 'smart contract development', 'cloud basics (aws/azure)', 'blockchain & smart contracts', 'financial knowledge basics', 'introductory data science', 'api integration basics', 'blockchain development', 'machine learning and ai analytics', 'financial modeling', 'quantitative modeling', 'devops', 'cybersecurity awareness', 'api and microservices architecture', 'api integration fundamentals', 'cross-functional team collaboration', 'stakeholder management', 'innovation', 'agility', 'introductory ml', 'cybersecurity basics', 'api & microservices architecture', 'sql fundamentals', 'devops automation', 'cybersecurity expertise', 'stakeholder collaboration', 'strategic planning', 'aws & azure cloud', 'innovation management', 'blockchain implementation', 'api design', 'financial modeling and analysis', 'cloud platforms aws/azure', 'team management', 'cloud computing aws/azure', 'microservices design', 'cloud platforms (aws, azure)', 'smart contracts development', 'introductory machine learning', 'aws basics', 'machine learning basics', 'python basics', 'machine learning predictive modeling', 'api design and microservices', 'blockchain and dlt', 'api architecture', 'cloud computing (aws, azure)', 'data analysis basics', 'smart contracts implementation', 'python advanced', 'financial domain knowledge', 'project management', 'intro to ml', 'financial products knowledge', 'aws/azure basics', 'api & microservices design', 'cross-functional collaboration', 'intro to machine learning', 'blockchain basics', 'devops practices', 'ml analytics', 'machine learning for analytics', 'blockchain fundamentals', 'adaptability', 'cybersecurity compliance', 'innovation strategies', 'microservices architecture']"
Fresher Data Scientist,"['matplotlib', 'python', 'r', 'seaborn', 'sql', 'basic ml: classification, regression, clustering', 'mysql', 'pandas', 'mongodb', 'numpy']"
Fresher ML Engineer,"['feature engineering', 'git/github', 'data visualization: matplotlib, seaborn', 'python', 'r', 'ml frameworks: scikit-learn, tensorflow, pytorch, keras', 'data preprocessing', 'statistics: probability, linear algebra', 'java', 'ml fundamentals: regression, classification, clustering, decision trees']"
Frontend Developer - Entry Level,"['vue.js', 'git', 'html5', 'html', 'browser developer tools', 'javascript (es6+)', 'angular basics', 'vue.js basics', 'react basics', 'javascript', 'tailwind css', 'bootstrap', 'css3', 'css', 'react']"
Frontend Developer - Experienced,"['git', 'html', 'unit/integration/e2e testing', 'unit & e2e testing', 'ci/cd', 'html5', 'react/redux', 'advanced react (hooks, redux)', 'vue.js', 'javascript (es6+)', 'performance optimization', 'angular', 'performance tuning', 'advanced react', 'testing automation', 'css3', 'javascript', 'lazy loading', 'css']"
Full Stack Developer - Entry Level,"['git', 'html', 'django', 'django/flask', 'html5', 'react', 'vue.js', 'flask', 'javascript (es6+)', 'angular', 'mysql', 'postgresql', 'sql', 'css3', 'mongodb', 'nosql', 'javascript', 'node.js', 'css', 'python (django/flask)']"
Full Stack Developer - Experienced,"['git', 'kubernetes', 'html', 'typescript', 'ci/cd', 'django', 'html5', 'react', 'vue.js', 'flask', 'javascript (es6+)', 'docker', 'angular', 'cloud platforms', 'serverless', 'redux', 'restful api design', 'mysql', 'agile', 'postgresql', 'sql', 'restful apis', 'css3', 'mongodb', 'nosql', 'microservices', 'javascript', 'node.js', 'web security', 'css']"
Game Developer,"['unreal engine basics', 'teamwork', 'leadership', 'python basics', 'communication', 'advanced ai and gameplay systems', 'git basics', 'debugging basics', 'unreal engine expert', 'gameplay systems and ai', 'physics simulation', 'python advanced', 'performance profiling', 'c# expert', 'multiplayer networking', 'project management', 'ai and gameplay systems', 'directx basics', 'opengl basics', 'performance optimization', 'shader programming', 'animation basics', 'cross-platform deployment', 'gameplay systems development', 'c# basics', 'ai programming', 'game mechanics basics', 'java advanced', 'advanced ai/gameplay systems', 'game mechanics fundamentals', 'advanced gameplay and ai systems', 'advanced gameplay and ai', 'c++ advanced', 'mobile/console platform awareness', 'ai/gameplay systems', 'animation fundamentals', 'physics and collision handling', 'cross-platform development', 'physics and animation basics', 'physics and collision systems', 'advanced ai and gameplay', 'physics', 'mobile game awareness', 'mobile/console development basics', 'c++ basics', 'unity basics', 'java basics', 'c++ expert', 'unity expert', 'adaptability', 'physics basics', 'godot basics', 'creativity', 'advanced gameplay systems', 'testing/debugging', 'debugging and profiling', 'graphics optimization', 'team collaboration', 'c# advanced', 'physics and collision basics', 'directx/opengl basics', 'shader programming hlsl/glsl', 'testing and debugging', 'graphics and performance optimization', 'gameplay systems', 'testing frameworks']"
Graduate Network Engineer,"['switching', 'lan/wan', 'python scripting basics', 'basic routing']"
Graduate Security Analyst,"['python basics', 'nist basics', 'antivirus', 'snort', 'windows/linux basics']"
Graduate iOS Developer,"['git', 'uikit', 'swift', 'cocoa touch', 'mvc', 'xcode']"
Graphic Designer,"['basic html/css', 'time management', 'web and mobile design', 'communication', 'indesign', 'web design basics', 'adobe illustrator', 'advanced photoshop', 'advanced adobe photoshop', 'motion graphics', 'illustrator', 'basic figma', '3d design', 'figma', 'adobe photoshop', 'after effects', '3d design basics', 'adobe indesign', 'web design', 'photoshop', 'ar/vr design', 'adaptability', 'creativity', 'typography', 'figma basics', 'color theory', 'adobe xd']"
Hybrid Cloud Architect,"['terraform', 'aws', 'hybrid cloud design', 'python', 'networking', 'azure']"
IT Support - Networking Focus,"['network troubleshooting', 'lan/wan', 'dns', 'tcp/ip']"
Information Security Analyst - Fresher,"['python', 'firewall basics', 'nessus', 'gdpr basics', 'snort']"
Information Security Specialist,"['threat intelligence', 'vulnerability management', 'qradar', 'splunk', 'python', 'incident response']"
Infrastructure Network Engineer,"['lan/wan design', 'python automation', 'qos', 'nagios', 'cisco prime']"
IoT Engineer,"['teamwork', 'communication', 'c advanced', 'lora basics', 'embedded firmware understanding', 'agile awareness', 'data pipelines and analytics', 'sensor and actuator integration', 'c, c++ expert', 'machine learning integration', 'iot architecture and design', 'ipv6 basics', 'power bi basics', 'project execution', 'ci/cd pipelines', 'network optimization', 'sensor fusion and actuator control', 'azure iot basics', 'advanced sensor integration', 'data analytics', 'c, c++ advanced', 'advanced c programming', 'problem-solving', 'machine learning', 'embedded firmware', 'leadership', 'network security', 'actuator integration', 'ci/cd', 'c basics', 'mqtt basics', 'embedded firmware development', 'agile methodology awareness', 'embedded firmware design', 'advanced c, c++', 'embedded firmware optimization', 'tcp/ip basics', 'project strategy', 'c++ advanced', 'cloud platforms (aws, azure, gcp)', 'zigbee basics', 'real-time analytics', 'gcp iot advanced', 'real-time analytics and ml', 'mqtt, coap, lorawan, nb-iot', 'sensor fusion and actuator integration', 'team collaboration', 'zigbee', 'embedded systems development', 'azure iot advanced', 'real-time data analytics', 'embedded systems design', 'google cloud iot basics', 'cross-team collaboration', 'edge computing', 'strategic planning', 'team management', 'coap basics', 'cloud platforms aws/azure/gcp', 'tcp/ip, ipv6', 'c++ basics', 'iot architecture', 'java basics', 'iot system architecture', 'iot architecture and deployment', 'mqtt', 'aws iot basics', 'real-time analytics and ml integration', 'python, java', 'tableau basics', 'coap', 'cloud iot basics', 'bluetooth', 'python basics', 'bluetooth and zigbee protocols', 'python advanced', 'project management', 'sensor integration and actuator management', 'ci/cd automation', 'embedded firmware and hardware interfacing', 'java advanced', 'cross-functional collaboration', 'sensor integration', 'iot architecture design', 'network security and optimization', 'aws iot advanced', 'aws, azure, gcp iot']"
Java Developer,"['leadership', 'git', 'kubernetes', 'html', 'jenkins', 'inheritance', 'sql (mysql/postgresql)', 'ci/cd', 'problem solving', 'collections framework', 'encapsulation', 'spring framework basics', 'testng basics', 'advanced sql', 'jvm internals', 'mentoring', 'junit', 'rest apis', 'networking basics', 'testng', 'angular/react', 'mockito', 'hibernate', 'database management', 'performance optimization', 'docker', 'java collections', 'junit basics', 'spring basics', 'java apis', 'polymorphism', 'exception handling', 'servlets', 'performance tuning', 'version control (git/svn)', 'concurrency basics', 'basic rest api knowledge', 'database tuning', 'agile', 'oop', 'java i/o', 'kafka', 'advanced java', 'sql', 'jsp', 'file handling', 'system design', 'restful apis', 'soap apis', 'javascript basics', 'database basics', 'version control (git)', 'mongodb', 'gradle', 'cassandra', 'spring boot', 'jdbc', 'selenium', 'sql queries', 'microservices', 'multithreading basics', 'core java', 'javascript', 'html/css', 'sql basics', 'team collaboration', 'jpa', 'hibernate basics', 'nosql', 'debugging', 'concurrency', 'css', 'maven']"
JavaScript Developer,"['leadership', 'teamwork', 'git', 'communication', 'typescript', 'testing frameworks: jest, mocha, cypress', 'git basics', 'ci/cd', 'responsive design', 'ci/cd basics', 'html5', 'cross-team collaboration', 'core javascript es6+', 'rest apis', 'react', 'vue.js', 'project management', 'performance optimization', 'docker', 'rest api knowledge', 'docker, ci/cd', 'vue.js basics', 'angular', 'graphql', 'webpack, babel, npm, yarn', 'express.js', 'performance tuning', 'rest api, graphql', 'json', 'docker basics', 'npm, yarn', 'rest api/graphql', 'jest, cypress, mocha', 'webpack, babel', 'jest, cypress', 'css3 basics', 'testing frameworks (jest, mocha, cypress)', 'redux, vuex', 'ajax/json', 'rest apis, graphql', 'angular basics', 'ci/cd pipelines', 'web performance optimization', 'testing frameworks (jest, cypress, mocha)', 'javascript es6+', 'team management', 'redux/vuex', 'html5 basics', 'css3', 'jest, mocha, cypress', 'javascript advanced', 'adaptability', 'ajax', 'advanced javascript', 'react basics', 'rest api basics', 'team collaboration', 'rest api integration', 'react, angular, vue.js', 'advanced performance optimization', 'node.js', 'javascript expert', 'problem-solving', 'rest api development', 'async programming']"
Junior Android Developer,"['xml', 'git', 'kotlin', 'sqlite', 'ui/ux design', 'java', 'rest api', 'android studio']"
Junior Android Engineer,"['ui/ux basics', 'xml', 'sqlite', 'kotlin', 'git', 'java', 'android studio', 'rest apis']"
Junior Cloud Engineer,"['ci/cd introduction', 'kubernetes fundamentals', 'python scripting', 'cloud networking', 'docker basics']"
Junior Data Scientist,"['postgresql', 'matplotlib', 'python', 'r', 'basic ml: logistic regression, decision trees, k-means', 'seaborn', 'sql', 'excel', 'mysql', 'pandas', 'numpy']"
Junior Interaction Designer,"['prototyping basics', 'typography', 'user research fundamentals', 'adobe xd', 'sketch', 'figma']"
Junior Machine Learning Engineer,"['feature engineering', 'git/github', 'data visualization: matplotlib, seaborn', 'matplotlib', 'ml fundamentals: regression, classification, clustering, decision trees', 'python', 'r', 'ml frameworks: scikit-learn, tensorflow, pytorch, keras', 'seaborn', 'sql', 'basic ml models: decision trees, k-means, logistic regression', 'data preprocessing', 'mysql', 'statistics: probability, linear algebra', 'pandas', 'java', 'mongodb', 'numpy']"
Junior Network Engineer,"['wireshark', 'tcp/ip', 'dhcp', 'lan/wan', 'dns', 'cisco routers', 'cisco switches', 'subnetting']"
Junior Security & Network Engineer,"['wireshark', 'firewall basics', 'ids/ips intro', 'vpn', 'cisco routers']"
Junior Security Analyst,"['wireshark', 'metasploit', 'team collaboration', 'windows security', 'iso 27001 basics', 'cryptography fundamentals', 'javascript basics']"
Junior Swift Developer,"['git', 'swift', 'ui/ux guidelines', 'xcode', 'objective-c basics']"
Junior System Engineer,"['aws fundamentals', 'tcp/ip', 'windows server basics', 'bash scripting', 'python', 'linux basics', 'virtualbox', 'vmware']"
Junior UX Analyst,"['invision', 'user research basics', 'wireframes', 'prototyping', 'figma']"
Junior UX Designer,"['invision', 'layout design', 'figma', 'color theory', 'wireframing', 'adobe xd', 'basic usability testing', 'information architecture']"
Junior iOS Developer,"['git', 'interface builder', 'swift', 'cocoa touch', 'objective-c', 'rest apis', 'json handling']"
Lead Android Engineer,"['kotlin', 'performance optimization', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Lead Cloud Solutions Architect,"['terraform', 'stakeholder management', 'serverless architecture', 'python', 'multi-cloud strategy', 'microservices design', 'cloud cost optimization']"
Lead Cybersecurity Analyst,"['threat hunting', 'compliance', 'cloud security', 'splunk', 'risk management', 'team leadership']"
Lead Data Scientist,"['feature engineering', 'spark', 'git', 'r', 'ensemble methods', 'nlp', 'azure', 'jupyter', 'java/scala', 'aws', 'python', 'regression', 'tableau', 'classification', 'sql', 'reinforcement learning', 'etl automation', 'powerbi', 'hadoop']"
Lead ML/AI Engineer,"['advanced ml/dl: deep learning, reinforcement learning, nlp, computer vision, transfer learning', 'frameworks: tensorflow, pytorch, keras, scikit-learn (advanced), onnx', 'scala', 'python', 'r', 'feature engineering, etl pipelines', 'mlops: ci/cd pipelines, monitoring, cloud deployment (aws/gcp/azure)', 'sql', 'java', 'big data: hadoop, spark']"
Lead Machine Learning Engineer,"['advanced ml/dl: deep learning, reinforcement learning, nlp, computer vision, transfer learning', 'frameworks: tensorflow, pytorch, keras, scikit-learn (advanced), onnx', 'scala', 'mlops: ci/cd, monitoring, cloud deployment (aws/gcp/azure)', 'python', 'r', 'feature engineering, etl pipelines', 'sql', 'java', 'big data: hadoop, spark']"
Lead Machine Learning Scientist,"['java/scala', 'feature engineering', 'spark', 'aws', 'reinforcement learning', 'deep learning', 'python', 'r', 'etl automation', 'tableau', 'powerbi', 'ensemble methods', 'sql', 'nlp', 'hadoop', 'azure']"
Lead Network Engineer,"['mpls', 'palo alto firewalls', 'team leadership', 'f5 load balancer', 'cisco nexus']"
Lead System Engineer,"['cloud strategy', 'leadership', 'linux', 'windows server', 'enterprise architecture']"
Lead UX Designer,"['design thinking', 'invision', 'axure', 'wcag standards', 'information architecture', 'prototyping', 'figma']"
Lead iOS Engineer,"['core text', 'coregraphics', 'swift', 'ci/cd', 'jira', 'agile', 'objective-c']"
ML Engineer Intern,"['feature engineering', 'git/github', 'ml libraries: scikit-learn, tensorflow, pytorch', 'data visualization: matplotlib, seaborn', 'python', 'r', 'data preprocessing', 'java', 'statistics: probability, linear algebra', 'ml fundamentals: classification, regression, clustering, supervised/unsupervised learning']"
ML Engineer Trainee,"['feature engineering', 'git/github', 'ml libraries: scikit-learn, tensorflow, pytorch, keras', 'statistics and probability', 'python', 'r', 'visualization: matplotlib, seaborn', 'ml fundamentals: supervised/unsupervised learning, classification, regression, clustering', 'data preprocessing', 'java']"
Machine Learning Engineer - Experienced,"['ml/dl: supervised/unsupervised learning, deep learning, reinforcement learning, nlp, computer vision, transfer learning', 'frameworks: tensorflow, pytorch, keras, scikit-learn (advanced), onnx', 'python (advanced)', 'r', 'sql', 'feature engineering and etl automation', 'java', 'mlops: ci/cd pipelines, model monitoring, cloud deployment (aws/gcp/azure)', 'big data: hadoop, spark']"
Machine Learning Engineer - Fresher,"['feature engineering', 'git/github', 'data visualization: matplotlib, seaborn', 'python', 'r', 'ml frameworks: scikit-learn, tensorflow, pytorch, keras', 'ml fundamentals: supervised/unsupervised learning, regression, classification, clustering, decision trees', 'data preprocessing', 'java', 'statistics: probability, linear algebra']"
Machine Learning Scientist,"['java/scala', 'feature engineering', 'spark', 'aws', 'reinforcement learning', 'python', 'r', 'tableau', 'powerbi', 'classification', 'sql', 'etl pipelines', 'nlp', 'hadoop', 'azure', 'regression']"
Market Research Analyst,"['time management', 'advanced data analysis', 'communication', 'python basics', 'r', 'competitive analysis', 'data storytelling', 'data analysis basics', 'spss', 'presentation skills', 'advanced analytics', 'predictive analytics', 'attention to detail', 'regression analysis', 'python', 'regression', 'advanced statistical analysis', 'critical thinking', 'tableau', 'sql', 'survey design', 'basic statistical analysis', 'excel advanced functions', 'consumer behavior analysis', 'predictive modeling', 'power bi', 'business strategy', 'statistical analysis', 'forecasting', 'market segmentation', 'report writing', 'data visualization basics', 'sas', 'data collection', 'excel', 'competitive intelligence', 'qualitative research']"
Marketing Specialist,"['multi-channel campaigns', 'lead generation and multi-channel campaigns', 'google analytics', 'brand management', 'sem basics', 'budget planning and optimization', 'email marketing tools', 'budget management', 'email marketing basics', 'digital strategy development', 'lead generation campaigns', 'multi-channel campaign planning', 'content and social media marketing', 'canva and adobe creative suite', 'digital campaigns management', 'marketing automation', 'collaboration', 'email marketing automation', 'campaign coordination', 'social media platforms', 'event coordination', 'email marketing', 'team leadership and collaboration', 'team leadership', 'content creation and strategy', 'strategic marketing planning', 'ai-driven personalization', 'ppc campaigns', 'seo basics', 'data analytics and reporting', 'emerging marketing technologies (ai tools, personalization)', 'seo/sem/ppc management', 'emerging marketing technologies', 'budget allocation', 'video production basics', 'seo, sem, ppc', 'google analytics basics', 'lead nurturing', 'lead generation', 'analytics (google analytics, tableau)', 'advanced seo/sem', 'social media strategy', 'team communication', 'ppc ads', 'event management', 'content marketing and creation', 'marketing strategy and planning', 'social media basics', 'adobe creative suite basics', 'budget optimization', 'copywriting', 'team collaboration', 'digital marketing fundamentals', 'content marketing', 'analytics (ga, tableau)', 'marketing analytics and reporting', 'data analysis (google analytics, tableau)', 'ai-powered marketing personalization', 'creative design tools', 'seo/sem and ppc campaigns', 'email marketing and automation', 'analytics and reporting', 'leadership and team management', 'advanced digital marketing', 'blogging', 'marketing strategy', 'email campaigns', 'analytics and roi reporting', 'marketing automation tools (mailchimp, hubspot)', 'campaign optimization', 'seo/sem', 'advanced digital marketing strategies', 'canva and wordpress basics', 'social media management', 'analytics and roi optimization', 'marketing analytics', 'data-driven decision making', 'time management', 'multi-channel campaign management', 'market research', 'seo/sem/ppc', 'data analysis basics', 'multi-channel marketing campaigns', 'digital marketing strategy', 'seo/sem/ppc campaigns', 'ppc campaigns management', 'advanced marketing strategy', 'content creation and social media strategy', 'seo, sem, ppc expertise', 'digital marketing campaigns', 'seo/sem optimization', 'email automation', 'data-driven analytics', 'collaboration and communication', 'ai-driven marketing tools', 'team coordination', 'emerging technologies in marketing', 'budget and roi management', 'seo/sem/ppc optimization', 'campaign management', 'content creation', 'budget and roi analysis', 'ai-powered marketing tools', 'advanced seo/sem/ppc', 'ppc management', 'social media marketing']"
Multi-Cloud Architect,"['terraform', 'leadership', 'aws', 'kubernetes', 'microservices architecture', 'azure', 'gcp']"
Network Automation Engineer,"['bash', 'python', 'automation', 'ansible', 'cisco ios']"
Network Engineer,"['solarwinds', 'mpls', 'ospf', 'bgp', 'qos', 'cisco nexus']"
Network Intern,"['cisco ios', 'vpn basics', 'dhcp', 'subnetting']"
Network Operations Center (NOC) Engineer,"['solarwinds', 'tcp/ip', 'network monitoring', 'incident management', 'nagios']"
Network Security Engineer,"['firewalls', 'cisco asa', 'ids/ips', 'cryptography', 'vpn']"
Network Support Engineer,"['solarwinds', 'vpn setup', 'bgp (intro)', 'routing basics', 'firewall basics', 'ospf']"
Operations Manager,"['time management', 'budgeting', 'communication', 'workflow automation', 'kpi tracking', 'basic erp/crm knowledge', 'data reporting basics', 'problem solving', 'process automation', 'report preparation', 'basic workflow management', 'process optimization', 'budget management', 'erp systems', 'process observation', 'budget monitoring', 'kpi reporting', 'strategic planning', 'data analysis', 'process improvement', 'financial reporting', 'basic team coordination', 'budget oversight', 'process awareness', 'resource allocation', 'workflow awareness', 'cross-functional collaboration', 'workflow optimization', 'team management', 'collaboration', 'resource optimization', 'reporting', 'team coordination', 'kpi monitoring', 'erp/crm tools', 'staff development', 'erp/crm basics', 'resource planning', 'scheduling', 'six sigma', 'adaptability', 'cross-functional coordination', 'erp/crm systems', 'observation', 'lean management', 'team leadership', 'problem-solving', 'workflow observation']"
Principal Android Developer,"['unit testing', 'kotlin', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Principal Android Engineer,"['unit testing', 'kotlin', 'performance optimization', 'dagger', 'room', 'jetpack', 'ci/cd', 'clean architecture', 'firebase', 'java', 'android studio', 'mvvm']"
Principal Data Scientist,"['predictive modeling', 'java/scala', 'feature engineering', 'spark', 'aws', 'reinforcement learning', 'deep learning', 'python', 'r', 'etl automation', 'tableau', 'powerbi', 'ensemble methods', 'sql', 'nlp', 'hadoop', 'gcp', 'machine learning']"
Principal Machine Learning Engineer,"['advanced ml/dl: deep learning, reinforcement learning, nlp, computer vision, transfer learning', 'frameworks: tensorflow, pytorch, keras, scikit-learn (advanced), onnx', 'scala', 'python', 'r', 'feature engineering, etl automation', 'sql', 'java', 'mlops: ci/cd pipelines, model monitoring, cloud deployment (aws/gcp/azure)', 'big data: hadoop, spark']"
Principal Network Engineer,"['project management', 'architecture design', 'palo alto', 'team leadership', 'cisco nexus']"
Principal Security Analyst,"['cloud security', 'leadership', 'compliance', 'advanced threat detection', 'risk management', 'siem tools']"
Principal UX Designer,"['invision', 'leadership', 'a/b testing', 'user research', 'interaction design', 'sketch', 'figma']"
Principal iOS Developer,"['swift', 'ci/cd', 'core animation', 'app performance optimization', 'objective-c', 'mvvm']"
Product Designer,"['leadership', 'teamwork', 'a/b testing', 'html', 'adobe illustrator', 'responsive design', 'figma', 'design thinking', 'adobe photoshop', 'design systems', 'user testing', 'agile', 'prototyping', 'sketch', 'accessibility', 'prototyping basics', 'usability testing', 'marvel', 'user research basics', 'agile methods', 'data-driven ux', 'information architecture basics', 'front-end collaboration', 'user flows', 'invision', 'stakeholder management', 'basic javascript', 'creativity', 'data analytics', 'javascript', 'typography', 'adobe creative suite', 'color theory', 'wireframing', 'adobe xd', 'css']"
